SFE_1,SFE_2,int_type,freq_1,freq_2,n_1,n_2,overlap_ratio,direction,FDR* < 0.1,EIS (ASC corrected score),n_tumor_types_testable,n_tumor_types_significant,interaction_specificity,tumor_types_significant
AMP.4.1798300.1798300,DEL.3.59702821.61237398,CNA_AMP CNA_DEL,0.01,0.02,80,104,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"blca,brca"
AMP.2.62404435.62410515,AMP.21.15658830.17586892,CNA_AMP CNA_AMP,0.01,0.01,58,52,0.00,ME,FALSE,0.33,3,3,multiple_tumor_types,"blca,brca,ov"
AMP.17.27212604.27212604,DEL.11.134140152.134140152,CNA_AMP CNA_DEL,0.02,0.01,115,60,0.00,ME,FALSE,0.33,1,1,tumor_type_specific,brca
TSC1,AMP.6.11418727.20405019,MUTATION CNA_AMP,0.01,0.03,38,155,0.00,ME,FALSE,0.33,1,1,tumor_type_specific,blca
NCOR2,DEL.13.48876592.49059721,MUTATION CNA_DEL,0.01,0.03,81,166,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"brca,stad"
AMP.2.121847706.121885772,AMP.11.45332579.46470372,CNA_AMP CNA_AMP,0.01,0.01,43,66,0.00,ME,FALSE,0.33,3,3,multiple_tumor_types,"esca,hnsc,ov"
AMP.1.150585939.161066590,AMP.3.50187790.50281168,CNA_AMP CNA_AMP,0.08,0.00,458,16,0.69,CO,TRUE,0.33,0,0,not_detectable,
CDKN2A,DEL.11.113848118.113861261,MUTATION CNA_DEL,0.03,0.01,164,59,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"luad,skcm"
CASP5,NOTCH1,MUTATION MUTATION,0.01,0.01,42,76,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"esca,hnsc"
DEL.6.116440007.116453467,DEL.18.77107934.77107934,CNA_DEL CNA_DEL,0.01,0.02,47,103,0.00,ME,FALSE,0.33,1,1,tumor_type_specific,ov
STAG2,AMP.16.24709884.24713284,MUTATION CNA_AMP,0.01,0.01,79,60,0.00,ME,FALSE,0.33,1,1,tumor_type_specific,blca
CDKN2A,DEL.15.28099124.41984723,MUTATION CNA_DEL,0.03,0.01,164,82,0.00,ME,FALSE,0.33,3,3,multiple_tumor_types,"luad,skcm,stad"
DEL.17.29420578.29708155,DEL.18.48556326.48616656,CNA_DEL CNA_DEL,0.01,0.02,55,95,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"brca,ov"
AMP.1.10876600.10923563,AMP.4.55042340.55045488,CNA_AMP CNA_AMP,0.01,0.02,45,114,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"esca,ov"
RNF43,AMP.13.73953432.73954914,MUTATION CNA_AMP,0.02,0.01,103,64,0.27,CO,FALSE,0.33,2,0,not_detectable,
AMP.10.61769305.61945611,AMP.X.52706693.54237966,CNA_AMP CNA_AMP,0.01,0.01,54,61,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"brca,ov"
RB1,ZC3H18,MUTATION MUTATION,0.03,0.01,173,49,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"crc,stad"
DEL.3.96530352.102215953,DEL.11.50055330.57469172,CNA_DEL CNA_DEL,0.00,0.00,12,13,0.40,CO,FALSE,0.33,0,0,not_detectable,
DEL.6.94412252.95273664,DEL.11.113848118.113861261,CNA_DEL CNA_DEL,0.01,0.01,62,59,0.25,CO,FALSE,0.33,2,2,multiple_tumor_types,"prad,skcm"
AMP.1.16424099.16424099,AMP.2.83991586.84025341,CNA_AMP CNA_AMP,0.01,0.01,45,41,0.25,CO,FALSE,0.33,2,0,not_detectable,
AMP.7.73849586.75591429,AMP.18.32832583.32862070,CNA_AMP CNA_AMP,0.02,0.01,101,50,0.00,ME,FALSE,0.33,2,2,multiple_tumor_types,"ov,stad"
NFE2L2,AMP.3.169424861.197278637,MUTATION CNA_AMP,0.02,0.10,99,618,0.39,CO,TRUE,0.33,7,3,multiple_tumor_types,"esca,kirc,lusc"
AMP.9.5423103.5423103,AMP.X.23815873.23981176,CNA_AMP CNA_AMP,0.02,0.01,89,65,0.00,ME,FALSE,0.33,4,4,multiple_tumor_types,"blca,brca,ov,stad"
AMP.2.48118896.48268075,AMP.21.15658830.17586892,CNA_AMP CNA_AMP,0.01,0.01,56,52,0.00,ME,FALSE,0.33,3,3,multiple_tumor_types,"blca,brca,ov"
AMP.8.41876504.41876504,AMP.16.67922342.69458369,CNA_AMP CNA_AMP,0.04,0.01,243,37,0.00,ME,FALSE,0.33,1,1,tumor_type_specific,blca
CASP8,KMT2E,MUTATION MUTATION,0.01,0.01,65,42,0.23,CO,FALSE,0.32,3,1,tumor_type_specific,stad
CDKN2A,DEL.6.94412252.95273664,MUTATION CNA_DEL,0.03,0.01,164,62,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"blca,skcm"
AMP.1.61831890.68012706,AMP.8.11491539.11649069,CNA_AMP CNA_AMP,0.01,0.01,64,57,0.00,ME,FALSE,0.32,1,1,tumor_type_specific,esca
AMP.9.5423103.5423103,AMP.13.73953432.73954914,CNA_AMP CNA_AMP,0.02,0.01,89,64,0.00,ME,FALSE,0.32,4,4,multiple_tumor_types,"blca,esca,hnsc,stad"
HLA-A,MAP2K4,MUTATION MUTATION,0.01,0.01,63,49,0.00,ME,FALSE,0.32,1,1,tumor_type_specific,stad
AMP.7.55245364.55247588,DEL.11.113848118.113861261,CNA_AMP CNA_DEL,0.05,0.01,292,59,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"brca,luad"
AMP.17.19194237.19488218,DEL.16.78129906.89379319,CNA_AMP CNA_DEL,0.01,0.03,66,162,0.00,ME,FALSE,0.32,1,1,tumor_type_specific,brca
KRAS,AMP.20.52173825.62219648,MUTATION CNA_AMP,0.07,0.05,406,288,0.15,ME,TRUE,0.32,8,6,multiple_tumor_types,"brca,crc,luad,ov,ucec,ucs"
ERBB3,FGFR1,MUTATION MUTATION,0.01,0.00,54,10,0.38,CO,FALSE,0.32,0,0,not_detectable,
AMP.13.113949229.113949229,AMP.17.20909644.21143422,CNA_AMP CNA_AMP,0.02,0.01,103,57,0.00,ME,FALSE,0.32,4,4,multiple_tumor_types,"blca,brca,lihc,ov"
AMP.9.140086045.140086045,AMP.18.20411221.20420409,CNA_AMP CNA_AMP,0.02,0.02,88,138,0.03,ME,FALSE,0.32,4,2,multiple_tumor_types,"brca,ov"
AMP.10.123245647.123245826,AMP.16.11883518.11916362,CNA_AMP CNA_AMP,0.01,0.02,58,96,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"brca,ov"
AMP.18.365815.1070920,DEL.3.71000305.86123993,CNA_AMP CNA_DEL,0.01,0.01,82,66,0.00,ME,FALSE,0.32,5,5,multiple_tumor_types,"blca,brca,esca,hnsc,lusc"
AMP.12.43748011.44200178,AMP.19.58724943.58724943,CNA_AMP CNA_AMP,0.01,0.01,45,84,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"brca,ov"
GATA3,AMP.16.5822456.8914905,MUTATION CNA_AMP,0.02,0.01,134,81,0.05,ME,FALSE,0.32,1,1,tumor_type_specific,brca
AMP.6.54167681.54891542,AMP.20.10347923.11331214,CNA_AMP CNA_AMP,0.02,0.01,90,41,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"brca,ov"
SETD2,DEL.13.48876592.49059721,MUTATION CNA_DEL,0.02,0.03,117,166,0.00,ME,FALSE,0.32,4,4,multiple_tumor_types,"blca,brca,luad,stad"
ARID2,AMP.9.35681368.35683882,MUTATION CNA_AMP,0.02,0.02,115,92,0.00,ME,FALSE,0.32,5,5,multiple_tumor_types,"blca,brca,hnsc,skcm,stad"
NF1,AMP.4.74048890.74048890,MUTATION CNA_AMP,0.03,0.01,189,75,0.00,ME,FALSE,0.32,4,4,multiple_tumor_types,"blca,brca,ov,stad"
DEL.9.840971.10617850,DEL.X.152707868.154905589,CNA_DEL CNA_DEL,0.02,0.01,98,40,0.00,ME,FALSE,0.32,3,3,multiple_tumor_types,"brca,ov,stad"
BRAF,CTNNB1,MUTATION MUTATION,0.09,0.03,519,188,0.15,ME,FALSE,0.32,4,3,multiple_tumor_types,"crc,skcm,stad"
CDKN2A,DEL.2.187453387.187549354,MUTATION CNA_DEL,0.03,0.00,164,26,0.29,CO,FALSE,0.32,2,1,tumor_type_specific,hnsc
AKT1,MAP2K4,MUTATION MUTATION,0.01,0.01,40,49,0.11,CO,FALSE,0.32,1,1,tumor_type_specific,brca
CDK12,MUC5B,MUTATION MUTATION,0.01,0.01,47,53,0.25,CO,FALSE,0.32,2,1,tumor_type_specific,crc
AMP.14.35883749.35884199,DEL.6.94412252.95273664,CNA_AMP CNA_DEL,0.01,0.01,81,62,0.00,ME,FALSE,0.32,0,0,not_detectable,
TMPRSS2,XPO1,MUTATION MUTATION,0.00,0.00,8,16,1.00,CO,FALSE,0.32,0,0,not_detectable,
AMP.2.190962107.191591346,AMP.3.169424861.197278637,CNA_AMP CNA_AMP,0.01,0.10,69,618,0.48,CO,FALSE,0.32,4,1,tumor_type_specific,ov
TGFBR2,AMP.13.73953432.73954914,MUTATION CNA_AMP,0.01,0.01,58,64,0.00,ME,FALSE,0.32,3,3,multiple_tumor_types,"crc,esca,hnsc"
ERBB2,AMP.19.58724943.58724943,MUTATION CNA_AMP,0.01,0.01,83,84,0.00,ME,FALSE,0.32,4,4,multiple_tumor_types,"blca,brca,esca,stad"
TP53,AMP.8.128758521.145091379,MUTATION CNA_AMP,0.37,0.11,2245,642,0.66,CO,TRUE,0.32,17,4,multiple_tumor_types,"brca,esca,gbm,lgg"
DEL.6.94412252.95273664,DEL.21.15372509.15372509,CNA_DEL CNA_DEL,0.01,0.01,62,70,0.00,ME,FALSE,0.32,1,1,tumor_type_specific,crc
AMP.11.35244887.35245447,DEL.8.26150061.47460945,CNA_AMP CNA_DEL,0.02,0.04,103,233,0.03,ME,FALSE,0.32,7,6,multiple_tumor_types,"blca,brca,esca,hnsc,stad,ucec"
APOB,KRAS,MUTATION MUTATION,0.01,0.07,74,406,0.05,ME,FALSE,0.32,4,4,multiple_tumor_types,"brca,crc,skcm,ucec"
DEL.16.78129906.89379319,DEL.22.17424422.17424422,CNA_DEL CNA_DEL,0.03,0.01,162,36,0.00,ME,FALSE,0.32,1,1,tumor_type_specific,brca
PPM1D,ZC3H13,MUTATION MUTATION,0.00,0.01,27,78,0.37,CO,FALSE,0.32,2,1,tumor_type_specific,stad
ARID2,AMP.4.55042340.55045488,MUTATION CNA_AMP,0.02,0.02,115,114,0.00,ME,FALSE,0.32,3,3,multiple_tumor_types,"blca,brca,skcm"
EP300,AMP.16.11883518.11916362,MUTATION CNA_AMP,0.02,0.02,89,96,0.00,ME,FALSE,0.32,3,3,multiple_tumor_types,"blca,brca,cesc"
AMP.1.6454459.6456472,AMP.2.48118896.48268075,CNA_AMP CNA_AMP,0.01,0.01,46,56,0.21,CO,FALSE,0.32,2,0,not_detectable,
RNF43,DEL.15.28099124.41984723,MUTATION CNA_DEL,0.02,0.01,103,82,0.00,ME,FALSE,0.32,2,2,multiple_tumor_types,"crc,stad"
ERBB2,NOTCH1,MUTATION MUTATION,0.01,0.01,83,76,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,esca
FBXW7,NOTCH1,MUTATION MUTATION,0.03,0.01,199,76,0.03,ME,FALSE,0.31,3,3,multiple_tumor_types,"esca,hnsc,lusc"
AMP.2.100079190.100246927,AMP.6.54167681.54891542,CNA_AMP CNA_AMP,0.01,0.02,31,90,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,ov
AMP.1.10876600.10923563,AMP.8.11491539.11649069,CNA_AMP CNA_AMP,0.01,0.01,45,57,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"esca,stad"
ERBB2,GNAS,MUTATION MUTATION,0.01,0.01,83,37,0.14,CO,FALSE,0.31,2,1,tumor_type_specific,crc
AMP.12.25358573.25362498,DEL.6.94412252.95273664,CNA_AMP CNA_DEL,0.03,0.01,175,62,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"blca,crc"
KRAS,DEL.8.2792739.4852925,MUTATION CNA_DEL,0.07,0.05,406,302,0.14,ME,FALSE,0.31,7,5,multiple_tumor_types,"brca,crc,ov,skcm,stad"
AMP.7.128461720.131269247,AMP.16.24709884.24713284,CNA_AMP CNA_AMP,0.02,0.01,110,60,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,brca
AMP.14.20524352.20524352,AMP.19.10562152.10562152,CNA_AMP CNA_AMP,0.01,0.02,57,125,0.02,ME,FALSE,0.31,4,4,multiple_tumor_types,"brca,esca,lgg,ov"
AMP.7.116339534.116341218,AMP.10.123245647.123245826,CNA_AMP CNA_AMP,0.01,0.01,84,58,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"ov,stad"
AMP.6.151949132.152000362,DEL.4.67140834.67144538,CNA_AMP CNA_DEL,0.01,0.00,34,11,0.29,CO,FALSE,0.31,0,0,not_detectable,
EP300,AMP.12.915322.916021,MUTATION CNA_AMP,0.02,0.02,89,146,0.00,ME,FALSE,0.31,5,4,multiple_tumor_types,"blca,brca,crc,hnsc"
HLA-A,DEL.13.48876592.49059721,MUTATION CNA_DEL,0.01,0.03,63,166,0.00,ME,FALSE,0.31,3,3,multiple_tumor_types,"blca,cesc,stad"
ARID1B,ITGAL,MUTATION MUTATION,0.01,0.01,64,31,0.19,CO,FALSE,0.31,3,1,tumor_type_specific,crc
DEL.2.187453387.187549354,DEL.18.48556326.48616656,CNA_DEL CNA_DEL,0.00,0.02,26,95,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"hnsc,stad"
AMP.4.170484074.170530477,AMP.6.135489069.135639983,CNA_AMP CNA_AMP,0.01,0.01,28,44,0.26,CO,FALSE,0.31,1,0,not_detectable,
DEL.6.62389425.63054229,DEL.9.101865111.112717505,CNA_DEL CNA_DEL,0.00,0.00,18,25,0.38,CO,TRUE,0.31,0,0,not_detectable,
AMP.1.204466860.204467676,AMP.2.121847706.121885772,CNA_AMP CNA_AMP,0.04,0.01,235,43,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,ov
ACVR2A,AMP.13.28407058.28407781,MUTATION CNA_AMP,0.01,0.01,63,61,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"crc,stad"
AMP.6.54167681.54891542,AMP.9.5423103.5423103,CNA_AMP CNA_AMP,0.02,0.02,90,89,0.02,ME,FALSE,0.31,6,5,multiple_tumor_types,"esca,hnsc,ov,skcm,stad"
AMP.2.121847706.121885772,AMP.19.58724943.58724943,CNA_AMP CNA_AMP,0.01,0.01,43,84,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"esca,ov"
AMP.2.97519493.97570064,AMP.20.10347923.11331214,CNA_AMP CNA_AMP,0.01,0.01,43,41,0.19,CO,FALSE,0.31,2,1,tumor_type_specific,brca
AMP.6.43875073.43875073,DEL.X.9932138.10648093,CNA_AMP CNA_DEL,0.03,0.02,162,108,0.03,ME,FALSE,0.31,6,5,multiple_tumor_types,"brca,crc,esca,luad,stad"
AMP.12.69233458.69237735,AMP.20.14248457.14330041,CNA_AMP CNA_AMP,0.03,0.01,181,38,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"brca,ov"
FAT1,ZNF750,MUTATION MUTATION,0.02,0.01,146,33,0.26,CO,FALSE,0.31,2,1,tumor_type_specific,hnsc
ACVR2A,DEL.3.59702821.61237398,MUTATION CNA_DEL,0.01,0.02,63,104,0.24,CO,FALSE,0.31,2,1,tumor_type_specific,crc
AMP.10.123245647.123245826,DEL.18.77107934.77107934,CNA_AMP CNA_DEL,0.01,0.02,58,103,0.00,ME,FALSE,0.31,3,3,multiple_tumor_types,"brca,ov,stad"
AMP.12.25358573.25362498,AMP.17.19194237.19488218,CNA_AMP CNA_AMP,0.03,0.01,175,66,0.02,ME,FALSE,0.31,3,3,multiple_tumor_types,"blca,brca,lusc"
KMT2C,DEL.19.1107160.1186533,MUTATION CNA_DEL,0.03,0.01,206,68,0.00,ME,FALSE,0.31,3,3,multiple_tumor_types,"brca,cesc,stad"
AMP.9.140086045.140086045,DEL.3.2212571.3100649,CNA_AMP CNA_DEL,0.02,0.01,88,61,0.00,ME,FALSE,0.31,3,3,multiple_tumor_types,"esca,ov,stad"
DNMT3A,AMP.21.38470347.40182177,MUTATION CNA_AMP,0.01,0.01,63,43,0.21,CO,FALSE,0.31,1,0,not_detectable,
TCF7L2,TGFBR2,MUTATION MUTATION,0.01,0.01,44,58,0.42,CO,FALSE,0.31,1,1,tumor_type_specific,crc
HLA-B,RNF43,MUTATION MUTATION,0.01,0.02,50,103,0.54,CO,FALSE,0.31,2,1,tumor_type_specific,crc
AMP.6.54167681.54891542,AMP.12.25358573.25362498,CNA_AMP CNA_AMP,0.02,0.03,90,175,0.05,ME,FALSE,0.31,5,4,multiple_tumor_types,"brca,esca,hnsc,stad"
BRCA2,DEL.7.110239721.111353361,MUTATION CNA_DEL,0.02,0.01,106,40,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,stad
AMP.2.27995105.28860856,AMP.8.11491539.11649069,CNA_AMP CNA_AMP,0.01,0.01,52,57,0.00,ME,FALSE,0.31,0,0,not_detectable,
AMP.2.100079190.100246927,AMP.20.19523056.19525982,CNA_AMP CNA_AMP,0.01,0.01,31,34,0.22,CO,TRUE,0.31,1,1,tumor_type_specific,ov
AMP.2.62404435.62410515,AMP.16.24709884.24713284,CNA_AMP CNA_AMP,0.01,0.01,58,60,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"blca,brca"
AMP.7.28900014.36009568,AMP.8.37525891.38197404,CNA_AMP CNA_AMP,0.01,0.05,73,296,0.04,ME,FALSE,0.31,6,4,multiple_tumor_types,"blca,esca,ov,stad"
PTEN,AMP.1.150585939.161066590,MUTATION CNA_AMP,0.06,0.08,362,458,0.07,ME,FALSE,0.31,11,7,multiple_tumor_types,"crc,lusc,prad,skcm,stad,ucec,ucs"
AMP.7.55245364.55247588,AMP.12.43748011.44200178,CNA_AMP CNA_AMP,0.05,0.01,292,45,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,brca
ACVR1B,KMT2D,MUTATION MUTATION,0.00,0.04,18,229,0.50,CO,TRUE,0.31,2,1,tumor_type_specific,crc
AMP.17.48975595.48975595,DEL.3.71000305.86123993,CNA_AMP CNA_DEL,0.02,0.01,134,66,0.00,ME,FALSE,0.31,3,3,multiple_tumor_types,"blca,brca,esca"
AMP.16.46799256.52608672,AMP.18.3005856.3646519,CNA_AMP CNA_AMP,0.01,0.01,52,84,0.00,ME,FALSE,0.31,1,1,tumor_type_specific,ov
AMP.12.25358573.25362498,DEL.22.17424422.17424422,CNA_AMP CNA_DEL,0.03,0.01,175,36,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"brca,lusc"
AMP.8.55224770.55228081,AMP.16.87920816.88025204,CNA_AMP CNA_AMP,0.03,0.01,190,31,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"brca,stad"
AMP.12.69233458.69237735,AMP.13.73953432.73954914,CNA_AMP CNA_AMP,0.03,0.01,181,64,0.02,ME,FALSE,0.31,4,3,multiple_tumor_types,"blca,esca,stad"
AMP.1.235087357.247065472,DEL.17.11921944.12047931,CNA_AMP CNA_DEL,0.05,0.01,281,69,0.02,ME,FALSE,0.31,4,3,multiple_tumor_types,"crc,ov,stad"
HLA-A,NCOR1,MUTATION MUTATION,0.01,0.01,63,73,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"blca,stad"
DEL.11.113848118.113861261,DEL.22.49331012.49331012,CNA_DEL CNA_DEL,0.01,0.02,59,119,0.00,ME,FALSE,0.31,2,2,multiple_tumor_types,"brca,luad"
DEL.1.211649071.211667553,DEL.2.133425995.142891872,CNA_DEL CNA_DEL,0.00,0.00,13,19,0.75,CO,FALSE,0.30,0,0,not_detectable,
AMP.7.55245364.55247588,AMP.19.30307380.30308526,CNA_AMP CNA_AMP,0.05,0.05,292,271,0.13,ME,FALSE,0.30,5,3,multiple_tumor_types,"brca,esca,stad"
CASP5,FLT3,MUTATION MUTATION,0.01,0.01,42,76,0.00,ME,FALSE,0.30,0,0,not_detectable,
AMP.7.55245364.55247588,DEL.X.63404273.63451686,CNA_AMP CNA_DEL,0.05,0.01,292,38,0.00,ME,FALSE,0.30,1,1,tumor_type_specific,esca
AMP.7.128461720.131269247,AMP.13.113949229.113949229,CNA_AMP CNA_AMP,0.02,0.02,110,103,0.02,ME,TRUE,0.30,2,1,tumor_type_specific,brca
BRCA1,AMP.6.43875073.43875073,MUTATION CNA_AMP,0.01,0.03,80,162,0.00,ME,FALSE,0.30,2,2,multiple_tumor_types,"brca,ov"
KLHL4,PPP6C,MUTATION MUTATION,0.00,0.00,23,24,0.50,CO,FALSE,0.30,0,0,not_detectable,
CD58,CDK12,MUTATION MUTATION,0.00,0.01,21,47,0.28,CO,FALSE,0.30,2,0,not_detectable,
MAP3K1,AMP.16.5822456.8914905,MUTATION CNA_AMP,0.02,0.01,99,81,0.24,CO,FALSE,0.30,1,1,tumor_type_specific,brca
AMP.2.178114632.178114912,AMP.6.135489069.135639983,CNA_AMP CNA_AMP,0.01,0.01,79,44,0.00,ME,FALSE,0.30,1,1,tumor_type_specific,esca
RBM10,STAG2,MUTATION MUTATION,0.01,0.01,48,79,0.29,CO,FALSE,0.30,1,1,tumor_type_specific,blca
AMP.1.6454459.6456472,AMP.8.11491539.11649069,CNA_AMP CNA_AMP,0.01,0.01,46,57,0.00,ME,FALSE,0.30,1,1,tumor_type_specific,esca
EP300,AMP.11.102308753.102308753,MUTATION CNA_AMP,0.02,0.02,89,126,0.00,ME,FALSE,0.30,6,4,multiple_tumor_types,"blca,brca,cesc,hnsc"
APC,AMP.7.55245364.55247588,MUTATION CNA_AMP,0.07,0.05,449,292,0.04,ME,FALSE,0.30,4,3,multiple_tumor_types,"blca,brca,esca"
AMP.2.48118896.48268075,AMP.4.144737060.144746002,CNA_AMP CNA_AMP,0.01,0.01,56,35,0.00,ME,FALSE,0.30,2,2,multiple_tumor_types,"brca,ov"
AMP.13.113949229.113949229,DEL.8.26150061.47460945,CNA_AMP CNA_DEL,0.02,0.04,103,233,0.02,ME,FALSE,0.30,7,5,multiple_tumor_types,"crc,hnsc,lihc,ov,stad"
SETD2,AMP.5.36413405.36415089,MUTATION CNA_AMP,0.02,0.03,117,204,0.00,ME,FALSE,0.30,6,5,multiple_tumor_types,"blca,brca,luad,skcm,stad"
PPP2R1A,AMP.8.81202107.81202107,MUTATION CNA_AMP,0.01,0.04,41,243,0.00,ME,FALSE,0.30,3,3,multiple_tumor_types,"crc,ucec,ucs"
NF1,AMP.19.15367544.15367978,MUTATION CNA_AMP,0.03,0.02,189,131,0.00,ME,FALSE,0.30,5,5,multiple_tumor_types,"brca,lgg,ov,stad,ucec"
DEL.10.89621061.89730647,DEL.21.15372509.15372509,CNA_DEL CNA_DEL,0.04,0.01,237,70,0.03,ME,FALSE,0.30,4,3,multiple_tumor_types,"crc,ov,stad"
AMP.5.36413405.36415089,AMP.7.55245364.55247588,CNA_AMP CNA_AMP,0.03,0.05,204,292,0.10,ME,FALSE,0.30,7,2,multiple_tumor_types,"brca,esca"
CTCF,ZFP36L1,MUTATION MUTATION,0.01,0.01,76,34,0.00,ME,FALSE,0.30,2,2,multiple_tumor_types,"brca,stad"
AMP.16.5822456.8914905,AMP.19.39856246.39856246,CNA_AMP CNA_AMP,0.01,0.03,81,157,0.04,ME,FALSE,0.30,3,2,multiple_tumor_types,"blca,ov"
APC,AMP.13.73953432.73954914,MUTATION CNA_AMP,0.07,0.01,449,64,0.27,CO,FALSE,0.30,4,1,tumor_type_specific,esca
AMP.9.5423103.5423103,AMP.12.58145117.58145457,CNA_AMP CNA_AMP,0.02,0.02,89,125,0.00,ME,FALSE,0.30,3,3,multiple_tumor_types,"brca,skcm,stad"
FAT1,PRB2,MUTATION MUTATION,0.02,0.01,146,32,0.00,ME,FALSE,0.30,1,1,tumor_type_specific,blca
AMP.4.170484074.170530477,AMP.6.54167681.54891542,CNA_AMP CNA_AMP,0.01,0.02,28,90,0.00,ME,FALSE,0.30,2,2,multiple_tumor_types,"ov,stad"
HLA-A,HLA-B,MUTATION MUTATION,0.01,0.01,63,50,0.27,CO,FALSE,0.30,3,1,tumor_type_specific,cesc
CDKN2A,AMP.X.23815873.23981176,MUTATION CNA_AMP,0.03,0.01,164,65,0.00,ME,FALSE,0.30,2,2,multiple_tumor_types,"blca,stad"
EP300,AMP.9.5423103.5423103,MUTATION CNA_AMP,0.02,0.02,89,89,0.00,ME,FALSE,0.30,4,3,multiple_tumor_types,"blca,brca,hnsc"
